Supplier_ID,Supplier_Name,Region,Industry,On_Time_Delivery_Rate,Financial_Stability_Score,Disruption_Type,Severity,Time_To_Recovery_Days,Disruption_Cost_USD,Insurance_Coverage_Percentage,Penalty_Cost_USD,Compensation_Paid_USD
f2eb45c7-864a-43e8-a4fb-e6ca7fad2149,Brooks-Watson,Sweden,Food & Beverage,87.67,99,Raw Material Shortage,Low,7,23918.64,75.04,2451.31,5970.09
f6562957-12fc-43f2-94b6-ab8cfaaf9d09,Knight-Dyer,Hong Kong,Pharmaceuticals,87.82,12,Port Congestion,Low,12,24581.79,88.45,2242.07,2839.2
a337eb0b-e082-461f-b51e-8ad999a727d8,"Jacobson, Garcia and French",Rwanda,Electronics,93.34,12,Logistics Delay,Low,25,33468.14,71.56,4910.74,9518.34
33bddabf-a9b5-4ded-8694-ca4a0e0f47e9,Moore Ltd,Guam,Food & Beverage,65.17,79,Port Congestion,Low,24,42019.18,84.95,5144.62,6323.89
51764fa3-d229-4dc1-a33f-1fcc92621e0f,"Pope, Reyes and Guerra",Trinidad and Tobago,Retail,91.8,31,Cyber Attack,High,162,2872833.04,68.88,446598.66,894025.64
12382adb-1efc-4422-a8d4-c7dbaef11074,"Moore, Gomez and Johnson",Guam,Food & Beverage,81.01,12,Logistics Delay,Low,26,10574.66,86.16,1656.82,1463.53
e6a4c4b6-6869-4bee-926f-bf125e1c09aa,"Spence, Bryant and King",Equatorial Guinea,Automotive,83.31,45,Cyber Attack,Low,14,37916.25,86.76,5578.5,5020.11
0e7257a6-5f5b-42f9-8f44-bc4cb1cdb19e,White LLC,Belgium,Electronics,84.88,88,Cyber Attack,Medium,160,461192.63,76.57,62746.24,108057.43
df615347-29be-49a1-8ef9-765a68f81938,Brown Ltd,United Arab Emirates,Pharmaceuticals,98.82,84,Regulatory Issue,Low,20,39185.77,66.64,6811.47,13072.37
dac5d547-a40a-4ef7-b6ed-34641cb6af9b,Fox-Smith,Netherlands Antilles,Automotive,89.63,13,Port Congestion,Low,21,16833.3,59.48,2718.16,6820.85
bfb47eda-43ec-42b2-a739-eb15aa49bd8a,"James, Garcia and Tucker",Belarus,Food & Beverage,76.88,31,Port Congestion,Low,29,32517.62,85.96,3227.06,4565.47
a671d8b0-0516-4621-9ba4-602e1a09ec56,Brock Ltd,Northern Mariana Islands,Retail,60.39,74,Labor Strike,Low,24,43920.34,57.79,3525.51,18538.78
5d83d997-bf9c-482a-9bf5-397e775726be,Thompson-Mcneil,Belarus,Pharmaceuticals,79.95,13,Logistics Delay,Low,26,14111.65,68.55,2363.83,4438.11
baf2ace8-481d-4799-9984-763cb7cba786,Livingston Inc,Costa Rica,Pharmaceuticals,64.53,48,Supplier Bankruptcy,High,30,1242284.44,54.21,158921.58,568842.05
774554fa-fe8e-4645-8c5c-554c5573abd4,Lee-Harrison,Saudi Arabia,Retail,83.04,32,Logistics Delay,High,57,1025313.03,94.28,92330.28,58647.91
afd7fdbd-c4db-43a1-b9e7-40e249e85929,Sparks-Powell,United Kingdom,Food & Beverage,73.37,2,Logistics Delay,High,107,561025.78,57.31,49924.38,239501.91
59e28067-c718-4256-af0b-de54d8af8a00,Reed-Wilson,Switzerland,Electronics,80.31,90,Supplier Bankruptcy,Low,14,10150.93,75.28,1934.68,2509.31
8740d48d-ad00-4c31-8203-451468f03aa3,Park and Sons,Malta,Retail,62.62,43,Natural Disaster,Low,22,39121.7,54.17,3772.21,17929.48
a8220c30-4d11-452a-b5a5-0ecd4fa61f92,Goodwin-Williams,Gibraltar,Pharmaceuticals,66.57,99,Supplier Bankruptcy,High,117,4944769.64,80.23,960493.12,977580.96
6506ea8d-73e3-4e52-a061-e372ca2eaf3c,"Perez, Dennis and Moon",Vietnam,Food & Beverage,73.76,37,Regulatory Issue,Low,27,11469.5,50.25,1783.67,5706.08
a1b01ca1-935f-437a-bc14-4213753046c9,Lowe Group,Cyprus,Pharmaceuticals,73.99,90,Labor Strike,Low,1,28741.56,57.45,2479.11,12229.53
6248251b-21da-4fae-bce0-fa328dd4ec65,Hunt Ltd,Cameroon,Retail,76.07,40,Logistics Delay,High,135,591149.6,50.38,41880.98,293328.43
0ae2ad98-f86e-4f40-9356-9ce38374bf09,"Park, Solis and Garcia",Tuvalu,Automotive,91.24,51,Cyber Attack,High,58,1058140.24,92.3,152197.55,81476.8
70a22057-b6c5-4ad4-9f4a-91a05d785bb9,Hobbs-Ramos,Montenegro,Electronics,77.19,86,Regulatory Issue,Low,9,22970.0,90.87,3338.66,2097.16
33af7af5-949c-4bb7-a6dc-2311e4994b4c,"Jones, Farmer and Patel",Nigeria,Automotive,77.91,77,Logistics Delay,Low,18,23369.57,51.15,4024.86,11416.03
edae1dad-ff68-45a1-8276-8d0500f2ffad,"Rodgers, Gray and Matthews",Uzbekistan,Pharmaceuticals,73.2,6,Regulatory Issue,High,12,4076166.13,63.94,321495.03,1469865.51
cb91bac8-ae36-4170-9f68-9bdab6f72176,Vazquez LLC,Yemen,Pharmaceuticals,77.29,89,Raw Material Shortage,High,46,2319820.97,91.12,133807.28,206000.1
85d14bdd-e346-4c50-859d-7554042a4fc3,White-Collins,Kuwait,Food & Beverage,94.29,6,Regulatory Issue,Medium,92,80688.5,62.68,15524.37,30112.95
46d50c6b-7a32-4800-9cef-4f7cea70e183,"Navarro, Jordan and Cook",Gambia,Retail,63.8,74,Supplier Bankruptcy,Low,25,39265.46,95.39,4171.86,1810.14
0f566905-2fad-46fa-88e7-19794395a5c6,Buchanan LLC,Uruguay,Electronics,66.45,97,Labor Strike,High,130,2610142.63,64.24,175621.56,933387.0
d8cf914e-1a7c-40b5-ac28-e94dbf018210,Garcia LLC,Chad,Automotive,70.34,61,Raw Material Shortage,Low,24,37428.9,51.11,4974.87,18298.99
